Id,ContentLang_id,ContentTypeFields_id,Value
1,1,15,/Resources/images/ranks/r-a5.png
2,2,15,/Resources/images/ranks/r-a4.png
3,3,15,/Resources/images/ranks/r-a2.png
4,4,15,/Resources/images/ranks/r-a1.png
5,5,15,/Resources/images/ranks/b-blank.png
6,6,15,/Resources/images/ranks/r-o6.png
7,7,15,/Resources/images/ranks/r-o5.png
8,8,15,/Resources/images/ranks/r-o4.png
9,9,15,/Resources/images/ranks/r-o3.png
10,10,15,/Resources/images/ranks/r-o2.png
11,11,15,/Resources/images/ranks/r-o1.png
12,12,15,/Resources/images/ranks/b-blank.png
13,13,15,/Resources/images/ranks/b-blank.png
14,14,15,/Resources/images/ranks/b-blank.png
15,15,15,/Resources/images/ranks/b-blank.png
16,16,15,/Resources/images/ranks/b-blank.png
